German;Spanish
wollen; querer
essen; comer
können; poder
müssen; deber
sollen; deber
schlafen; dormir
dass; que (conjunción subordinante)
machen; hacer
hören; escuchar
schwimmen; nadar
finden; encontrar
lesen; leer
ich mag; me gusta, prefiero
lernen; aprender
dürfen; poder
möchten; desear
er, sie mag; a él, ella le gusta
sehen; ver
zeigen; enseñar
sprechen; hablar
bezahlen; pagar
bestätigen; confirmar
kochen; cocinar
benutzen; utilizar
helfen; ayudar
reden; hablar
wiederholen; repetir
mieten; alquilar
wecken; despertar
entschieden; decidir
aussagen; prestar declaración, declarar
registrieren; registrar
teilnehmen; tomar parte
mitmachen; participar
tun; hacer
sagen; decir
spazieren; pasear
fragen; preguntar
betrachten; contemplar, mirar, observar
formen; formar
vorstellen; imaginar, presentar (a alguien)
ersetzen; sustituir
wünschen; desear
öffnen; abrir
